incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
411217348853760,352943232581632,11500,10500,342,120,Endorsed,NoReputation,3451625,433378,2280000,0,241,810000000
384829069787136,400222232576000,1007,7,328,184,Endorsed,Endorsed,5996272,76371494,2186000,0,241,50000000000
400222232576000,368336395370496,12706,12704,160,80,Endorsed,NoReputation,10898921,483769,2132,0,241,1500000000
384829069787136,400222232576000,1041,41,328,184,Endorsed,Endorsed,5996949,76372152,2186000,0,241,50000000000
335351046537216,400222232576000,1045,45,328,184,Endorsed,Endorsed,5429786,76372336,2186000,0,241,50000000000
384829069787136,400222232576000,1339,339,328,184,Endorsed,Endorsed,5996667,76371792,2186000,2186000,241,50000000000
385928581414912,400222232576000,9369,8361,328,184,Endorsed,Endorsed,2103496,76371745,2203488,4372000,241,50000000000
384829069787136,400222232576000,1062,62,328,184,Endorsed,Endorsed,5996605,76372674,2186000,2186000,241,50000000000
400222232576000,335351046537216,1132,132,384,240,Endorsed,NoReputation,10898142,7375511,2560000,0,241,25000000000
384829069787136,400222232576000,1017,17,328,184,Endorsed,Endorsed,5996231,76372216,2186000,2186000,241,50000000000
373833953509376,400222232576000,1885,885,328,184,Endorsed,Endorsed,1279224,76372918,2186000,2186000,241,50000000000
384829069787136,400222232576000,1006,6,328,184,Endorsed,Endorsed,5996844,76372805,2186000,4372000,241,50000000000
385928581414912,400222232576000,1042,42,328,184,Endorsed,Endorsed,2103422,76374481,2186000,2186000,241,50000000000
384829069787136,400222232576000,1012,12,328,184,Endorsed,Endorsed,5996592,76374475,2186000,2186000,241,50000000000
400222232576000,368336395370496,61758,61749,370,290,Endorsed,NoReputation,10897632,483731,22194,0,241,1500000000
400222232576000,368336395370496,2705117,2704687,290,210,Endorsed,NoReputation,10898248,483730,831190,0,241,1500000000
411217348853760,385928581414912,4229,3223,726,504,Endorsed,Endorsed,3446585,10740916,4869040,0,241,1000000000
335351046537216,411217348853760,6396,5386,411,189,Endorsed,NoReputation,5424319,2330727,2767400,0,241,12500000000
411217348853760,368336395370496,1376,1376,290,210,Endorsed,NoReputation,3446043,483707,0,0,241,1500000000
411217348853760,385928581414912,4318,3312,726,504,Endorsed,Endorsed,3445758,10741446,4869040,0,241,1000000000
335351046537216,411217348853760,36762,35691,411,189,Endorsed,NoReputation,5421606,2330630,2934540,0,241,12500000000
335351046537216,400222232576000,1117,117,328,184,Endorsed,Endorsed,5420610,76369579,2186000,2186000,241,50000000000
384829069787136,400222232576000,1036,36,328,184,Endorsed,Endorsed,5991200,76368689,2186000,4372000,241,50000000000
411217348853760,373833953509376,23961,23438,224,80,Endorsed,Endorsed,3445464,9515376,780839,0,241,42401858500
384829069787136,335351046537216,1060,60,384,240,Endorsed,NoReputation,5991663,7374555,2560000,0,241,25000000000
384829069787136,400222232576000,1070,70,328,184,Endorsed,Endorsed,5991564,76369015,2186000,4372000,241,50000000000
385928581414912,400222232576000,149213,148066,328,184,Endorsed,Endorsed,2103404,76369316,2507342,4372000,241,50000000000
411217348853760,384829069787136,40717,38621,220,80,Endorsed,Endorsed,3444608,19844327,3072736,0,241,500000000
384829069787136,400222232576000,1014,14,328,184,Endorsed,Endorsed,5992742,76369123,2186000,4372000,241,50000000000
