incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
336450558164992,357341279092736,191924,191924,364,284,Unendorsed,Unendorsed,1137236,0,0,0,241,5000000000
358440790720512,384829069787136,2009,1007,550,328,Endorsed,Endorsed,1983839,31142779,3673332,0,0,0
336450558164992,357341279092736,915105,915105,364,284,Unendorsed,Unendorsed,1136808,0,0,0,241,5000000000
358440790720512,384829069787136,2043,1041,550,328,Endorsed,Endorsed,1984737,31143646,3673332,0,0,0
336450558164992,358440790720512,2839,2839,512,432,Unendorsed,Unendorsed,1136690,0,0,0,241,10000000000
336450558164992,358440790720512,5211700,5211700,160,80,Unendorsed,Unendorsed,1136484,0,0,0,241,10000000000
357341279092736,384829069787136,2064,1062,550,328,Endorsed,Endorsed,2558583,31143626,3673332,0,0,0
358440790720512,384829069787136,2019,1017,550,328,Endorsed,Endorsed,1984505,31144037,3673332,0,0,0
357341279092736,384829069787136,2008,1006,550,328,Endorsed,Endorsed,2558831,31144866,3673332,0,0,0
336450558164992,358440790720512,3364535,3364535,160,80,Unendorsed,Unendorsed,1135978,0,0,0,241,10000000000
358440790720512,384829069787136,2014,1012,550,328,Endorsed,Endorsed,1984961,31145327,3673332,0,0,0
336450558164992,357341279092736,4113,4113,364,284,Unendorsed,Unendorsed,1135589,0,0,0,241,5000000000
336450558164992,357341279092736,1285,1285,364,284,Unendorsed,Unendorsed,1134659,0,0,0,241,5000000000
357341279092736,384829069787136,2038,1036,550,328,Endorsed,Endorsed,2556574,31143565,3673332,0,0,0
336450558164992,358440790720512,23352,23352,160,80,Unendorsed,Unendorsed,1134497,0,0,0,241,10000000000
358440790720512,384829069787136,2062,1060,606,384,Endorsed,Endorsed,1983672,31144336,4048080,0,0,0
357341279092736,384829069787136,2072,1070,550,328,Endorsed,Endorsed,2557303,31144290,3673332,4048080,0,0
336450558164992,357341279092736,60071,60071,364,284,Unendorsed,Unendorsed,1134095,0,0,0,241,5000000000
358440790720512,384829069787136,2016,1014,550,328,Endorsed,Endorsed,1983002,31144461,3673332,0,0,0
357341279092736,384829069787136,2071,1069,550,328,Endorsed,Endorsed,2557189,31145162,3673332,0,0,0
336450558164992,358440790720512,16946352,16946352,160,80,Unendorsed,Unendorsed,1133609,0,0,0,241,10000000000
357341279092736,384829069787136,2068,1066,550,328,Endorsed,Endorsed,2557227,31145185,3673332,0,0,0
336450558164992,358440790720512,33003243,33003243,160,80,Unendorsed,Unendorsed,1133429,0,0,0,241,10000000000
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1982667,31145718,3673332,0,0,0
336450558164992,358440790720512,3301,3301,512,432,Unendorsed,Unendorsed,1132859,0,0,0,241,10000000000
357341279092736,384829069787136,2022,1020,550,328,Endorsed,Endorsed,2555912,31144838,3673332,0,0,0
358440790720512,384829069787136,2046,1044,550,328,Endorsed,Endorsed,1981930,31145445,3673332,0,0,0
336450558164992,358440790720512,1268,1268,160,80,Unendorsed,Unendorsed,1132277,0,0,0,241,10000000000
357341279092736,384829069787136,2091,1089,550,328,Endorsed,Endorsed,2555595,31145503,3673332,0,0,0
357341279092736,384829069787136,2006,1004,550,328,Endorsed,Endorsed,2555882,31145779,3673332,0,0,0
336450558164992,357341279092736,61266,61266,364,284,Unendorsed,Unendorsed,1131536,0,0,0,241,5000000000
336450558164992,357341279092736,7244,7244,364,284,Unendorsed,Unendorsed,1131473,0,0,0,241,5000000000
358440790720512,384829069787136,2029,1027,550,328,Endorsed,Endorsed,1981357,31146388,3673332,0,0,0
336450558164992,357341279092736,16395,16395,364,284,Unendorsed,Unendorsed,1131359,0,0,0,241,5000000000
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1982008,31146930,3673332,0,0,0
336450558164992,357341279092736,96238,96238,364,284,Unendorsed,Unendorsed,1129917,0,0,0,241,5000000000
336450558164992,357341279092736,124484,124484,364,284,Unendorsed,Unendorsed,1129495,0,0,0,241,5000000000
336450558164992,358440790720512,1523,1523,160,80,Unendorsed,Unendorsed,1129177,0,0,0,241,10000000000
357341279092736,384829069787136,4223,3217,646,424,Endorsed,Endorsed,2551350,31143161,4331836,0,0,0
336450558164992,358440790720512,112346,112346,160,80,Unendorsed,Unendorsed,1128848,0,0,0,241,10000000000
358440790720512,384829069787136,2005,1003,550,328,Endorsed,Endorsed,1978303,31141763,3673332,0,0,0
357341279092736,384829069787136,2010,1008,550,328,Endorsed,Endorsed,2549448,31142227,3673332,0,0,0
358440790720512,384829069787136,2007,1005,550,328,Endorsed,Endorsed,1978766,31143059,3673332,0,0,0
357341279092736,384829069787136,2009,1007,550,328,Endorsed,Endorsed,2549311,31143072,3673332,0,0,0
358440790720512,384829069787136,2027,1025,550,328,Endorsed,Endorsed,1978467,31143357,3673332,0,0,0
336450558164992,358440790720512,55209,55209,160,80,Unendorsed,Unendorsed,1126645,0,0,0,241,10000000000
358440790720512,384829069787136,2046,1044,550,328,Endorsed,Endorsed,1977663,31141989,3673332,0,0,0
357341279092736,384829069787136,2013,1011,550,328,Endorsed,Endorsed,2547267,31141974,3673332,3673332,0,0
357341279092736,384829069787136,2038,1036,550,328,Endorsed,Endorsed,2547560,31143257,3673332,0,0,0
358440790720512,384829069787136,2004,1002,550,328,Endorsed,Endorsed,1977880,31143965,3673332,0,0,0
358440790720512,384829069787136,2033,1031,550,328,Endorsed,Endorsed,1978630,31144636,3673332,0,0,0
358440790720512,384829069787136,2007,1005,550,328,Endorsed,Endorsed,1979525,31145498,3673332,0,0,0
358440790720512,384829069787136,2009,1007,550,328,Endorsed,Endorsed,1979521,31145493,3673332,3673332,0,0
357341279092736,384829069787136,2008,1006,550,328,Endorsed,Endorsed,2547507,31147192,3673332,0,0,0
357341279092736,384829069787136,2011,1009,550,328,Endorsed,Endorsed,2547981,31147656,3673332,0,0,0
336450558164992,358440790720512,56699430,56699430,160,80,Unendorsed,Unendorsed,1125222,0,0,0,241,10000000000
357341279092736,384829069787136,2045,1043,550,328,Endorsed,Endorsed,2548311,31147973,3673332,0,0,0
357341279092736,336450558164992,57728,55590,340,200,Unendorsed,Unendorsed,2549175,10411202,4844708,0,241,1000000000
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1980112,31148651,3673332,0,0,0
357341279092736,384829069787136,2010,1008,550,328,Endorsed,Endorsed,2550466,31148976,3673332,0,0,0
358440790720512,384829069787136,2003,1001,606,384,Endorsed,Endorsed,1980088,31149311,4048080,0,0,0
358440790720512,384829069787136,2004,1002,550,328,Endorsed,Endorsed,1979695,31148795,3673332,0,0,0
358440790720512,384829069787136,2006,1004,550,328,Endorsed,Endorsed,1980597,31149666,3673332,0,0,0
357341279092736,384829069787136,2083,1081,550,328,Endorsed,Endorsed,2549505,31149984,3673332,0,0,0
336450558164992,357341279092736,122686,122686,364,284,Unendorsed,Unendorsed,1125706,0,0,0,241,5000000000
357341279092736,384829069787136,2070,1068,550,328,Endorsed,Endorsed,2549726,31150190,3673332,0,0,0
336450558164992,358440790720512,2345,2345,512,432,Unendorsed,Unendorsed,1125535,0,0,0,241,10000000000
357341279092736,384829069787136,2004,1002,550,328,Endorsed,Endorsed,2550405,31150863,3673332,0,0,0
358440790720512,384829069787136,2016,1014,550,328,Endorsed,Endorsed,1979968,31151536,3673332,0,0,0
336450558164992,358440790720512,15352,15352,160,80,Unendorsed,Unendorsed,1125080,0,0,0,241,10000000000
358440790720512,384829069787136,2016,1014,550,328,Endorsed,Endorsed,1980131,31151438,3673332,0,0,0
357341279092736,384829069787136,2012,1010,550,328,Endorsed,Endorsed,2549961,31151395,3673332,3673332,0,0
357341279092736,384829069787136,2014,1012,550,328,Endorsed,Endorsed,2550525,31152953,3673332,0,0,0
357341279092736,384829069787136,2058,1056,550,328,Endorsed,Endorsed,2551357,31153781,3673332,0,0,0
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1980612,31153761,3673332,3673332,0,0
357341279092736,384829069787136,2031,1029,550,328,Endorsed,Endorsed,2552211,31155634,3673332,0,0,0
358440790720512,384829069787136,2027,1025,550,328,Endorsed,Endorsed,1981088,31156077,3673332,0,0,0
336450558164992,357341279092736,2124,2124,364,284,Unendorsed,Unendorsed,1124211,0,0,0,241,5000000000
336450558164992,358440790720512,7527,7527,160,80,Unendorsed,Unendorsed,1124035,0,0,0,241,10000000000
357341279092736,384829069787136,2101,1099,550,328,Endorsed,Endorsed,2551356,31155748,3673332,0,0,0
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1980607,31156137,3673332,0,0,0
358440790720512,384829069787136,2011,1009,550,328,Endorsed,Endorsed,1981407,31156875,3673332,0,0,0
336450558164992,358440790720512,1446,1446,160,80,Unendorsed,Unendorsed,1122717,0,0,0,241,10000000000
358440790720512,384829069787136,2005,1003,550,328,Endorsed,Endorsed,1980973,31155996,3673332,0,0,0
358440790720512,384829069787136,2015,1013,550,328,Endorsed,Endorsed,1980973,31155996,3673332,3673332,0,0
357341279092736,384829069787136,2005,1003,550,328,Endorsed,Endorsed,2549529,31157879,3673332,0,0,0
336450558164992,357341279092736,2348,2348,364,284,Unendorsed,Unendorsed,1122293,0,0,0,241,5000000000
357341279092736,384829069787136,2034,1032,550,328,Endorsed,Endorsed,2549909,31158248,3673332,0,0,0
357341279092736,384829069787136,2014,1012,550,328,Endorsed,Endorsed,2550771,31159107,3673332,0,0,0
358440790720512,384829069787136,2034,1032,550,328,Endorsed,Endorsed,1982150,31159922,3673332,0,0,0
358440790720512,384829069787136,2022,1020,550,328,Endorsed,Endorsed,1982972,31160688,3673332,0,0,0
357341279092736,336450558164992,24113,22058,340,200,Unendorsed,Unendorsed,2550380,10408932,4656630,0,241,1000000000
358440790720512,384829069787136,2023,1021,550,328,Endorsed,Endorsed,1982925,31160318,3673332,0,0,0
357341279092736,336450558164992,6742,4731,340,200,Unendorsed,Unendorsed,2551674,10410728,4556926,0,241,1000000000
336450558164992,358440790720512,1918795,1918795,512,432,Unendorsed,Unendorsed,1125210,0,0,0,241,10000000000
357341279092736,336450558164992,4865,2858,340,200,Unendorsed,Unendorsed,2553510,10412680,4547862,0,241,1000000000
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1983247,31160429,3673332,0,0,0
357341279092736,384829069787136,2043,1041,550,328,Endorsed,Endorsed,2554856,31161075,3673332,0,0,0
358440790720512,384829069787136,2007,1005,550,328,Endorsed,Endorsed,1983902,31161979,3673332,0,0,0
336450558164992,358440790720512,15299,15299,160,80,Unendorsed,Unendorsed,1126829,0,0,0,241,10000000000
357341279092736,384829069787136,10608,9589,646,424,Endorsed,Endorsed,2554974,31162180,4387814,0,0,0
358440790720512,384829069787136,2009,1007,550,328,Endorsed,Endorsed,1984172,31162023,3673332,0,0,0
358440790720512,384829069787136,2494,1492,606,384,Endorsed,Endorsed,1985045,31162855,4048080,0,0,0
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1984613,31162290,3673332,0,0,0
336450558164992,357341279092736,5872,5872,364,284,Unendorsed,Unendorsed,1126097,0,0,0,241,5000000000
357341279092736,384829069787136,2023,1021,550,328,Endorsed,Endorsed,2553932,31163124,3673332,0,0,0
358440790720512,384829069787136,2740,1737,606,384,Endorsed,Endorsed,1985433,31163054,4052120,3673332,0,0
357341279092736,336450558164992,371843,368921,340,200,Unendorsed,Unendorsed,2554794,10413760,6621252,0,241,1000000000
358440790720512,384829069787136,2006,1004,550,328,Endorsed,Endorsed,1985029,31163527,3673332,0,0,0
357341279092736,336450558164992,7752,5738,340,200,Unendorsed,Unendorsed,2557053,10416457,4563724,0,241,1000000000
357341279092736,336450558164992,35878,33794,340,200,Unendorsed,Unendorsed,2558761,10418367,4722344,0,241,1000000000
358440790720512,384829069787136,2013,1011,550,328,Endorsed,Endorsed,1985542,31163890,3673332,0,0,0
357341279092736,384829069787136,2007,1005,550,328,Endorsed,Endorsed,2558661,31162788,3673332,0,0,0
358440790720512,384829069787136,2007,1005,550,328,Endorsed,Endorsed,1984830,31163654,3673332,0,0,0
357341279092736,384829069787136,2010,1008,550,328,Endorsed,Endorsed,2559524,31163650,3673332,3673332,0,0
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1985738,31165534,3673332,0,0,0
357341279092736,384829069787136,2030,1028,550,328,Endorsed,Endorsed,2559753,31165872,3673332,0,0,0
336450558164992,358440790720512,306122,306122,160,80,Unendorsed,Unendorsed,1130982,0,0,0,241,10000000000
357341279092736,384829069787136,2251,1249,606,384,Endorsed,Endorsed,2560145,31166256,4048080,0,0,0
336450558164992,358440790720512,2107,2107,512,432,Unendorsed,Unendorsed,1130694,0,0,0,241,10000000000
336450558164992,357341279092736,745863,745863,364,284,Unendorsed,Unendorsed,1129954,0,0,0,241,5000000000
358440790720512,384829069787136,2030,1028,606,384,Endorsed,Endorsed,1983567,31163388,4048080,0,0,0
336450558164992,358440790720512,1958,1958,160,80,Unendorsed,Unendorsed,1129199,0,0,0,241,10000000000
358440790720512,384829069787136,2003,1001,550,328,Endorsed,Endorsed,1982690,31162238,3673332,0,0,0
357341279092736,384829069787136,2020,1018,550,328,Endorsed,Endorsed,2555354,31162392,3673332,0,0,0
336450558164992,358440790720512,9083,9083,160,80,Unendorsed,Unendorsed,1128665,0,0,0,241,10000000000
336450558164992,358440790720512,40008,40008,160,80,Unendorsed,Unendorsed,1128627,0,0,0,241,10000000000
336450558164992,358440790720512,2155,2155,160,80,Unendorsed,Unendorsed,1128366,0,0,0,241,10000000000
357341279092736,384829069787136,2036,1034,550,328,Endorsed,Endorsed,2554758,31161771,3673332,0,0,0
357341279092736,336450558164992,3141,1139,340,200,Unendorsed,Unendorsed,2555439,10416916,4536532,0,241,1000000000
357341279092736,336450558164992,3355,1352,340,200,Unendorsed,Unendorsed,2557251,10418854,4538798,0,241,1000000000
336450558164992,357341279092736,2379202,2379202,364,284,Unendorsed,Unendorsed,1129872,0,0,0,241,5000000000
336450558164992,358440790720512,131802,131802,160,80,Unendorsed,Unendorsed,1131821,0,0,0,241,10000000000
358440790720512,384829069787136,2040,1038,550,328,Endorsed,Endorsed,1980951,31161654,3673332,0,0,0
357341279092736,336450558164992,27567,25504,340,200,Unendorsed,Unendorsed,2558592,10420632,4674758,0,241,1000000000
357341279092736,336450558164992,4331,2326,340,200,Unendorsed,Unendorsed,2559914,10422444,4543330,0,241,1000000000
336450558164992,358440790720512,269537,269537,160,80,Unendorsed,Unendorsed,1135247,0,0,0,241,10000000000
357341279092736,336450558164992,261085,258439,340,200,Unendorsed,Unendorsed,2561549,10424324,5995836,0,241,1000000000
336450558164992,358440790720512,16076,16076,160,80,Unendorsed,Unendorsed,1137765,0,0,0,241,10000000000
358440790720512,384829069787136,2083,1081,550,328,Endorsed,Endorsed,1980305,31160496,3673332,0,0,0
336450558164992,358440790720512,2036,2036,160,80,Unendorsed,Unendorsed,1137386,0,0,0,241,10000000000
336450558164992,358440790720512,20493,20493,160,80,Unendorsed,Unendorsed,1137282,0,0,0,241,10000000000
358440790720512,384829069787136,2007,1005,550,328,Endorsed,Endorsed,1981089,31161213,3673332,0,0,0
336450558164992,357341279092736,1876,1876,364,284,Unendorsed,Unendorsed,1137217,0,0,0,241,5000000000
357341279092736,336450558164992,5394,3386,340,200,Unendorsed,Unendorsed,2562679,10426456,4550128,0,241,1000000000
357341279092736,384829069787136,2017,1015,550,328,Endorsed,Endorsed,2564603,31161841,3673332,0,0,0
357341279092736,384829069787136,2049,1047,550,328,Endorsed,Endorsed,2564594,31161832,3673332,3673332,0,0
357341279092736,384829069787136,2163,1161,606,384,Endorsed,Endorsed,2566383,31163618,4048080,0,0,0
