incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
414515883737088,394724674437120,2089,1089,344,200,Unendorsed,Unendorsed,19619230,30842233,2293000,0,241,50000000000
381530534903808,414515883737088,57744,55605,220,80,Unendorsed,Unendorsed,10076790,89345769,3135774,0,241,49997500000
369435906998272,399122720948224,18500,17483,224,80,Unendorsed,Unendorsed,4017871,96295329,1518381,0,241,50000000000
415615395364864,414515883737088,4537,2531,220,80,Unendorsed,Unendorsed,26329609,89347711,2940796,0,241,49997500000
369435906998272,394724674437120,2201663164,2200564083,436,292,Unendorsed,Unendorsed,4018693,30843080,3193929386,0,241,50000000000
381530534903808,394724674437120,8193,7190,568,424,Unendorsed,Unendorsed,10078193,30843023,3797358,0,241,50000000000
415615395364864,399122720948224,62788,61727,224,80,Unendorsed,Unendorsed,26330368,96295775,1584073,0,241,50000000000
414515883737088,415615395364864,2149741437,2148130340,332,292,Unendorsed,Unendorsed,19622145,63363217,3565357661,0,241,49997500000
415615395364864,399122720948224,2659486,2655833,264,120,Unendorsed,Unendorsed,26330548,96296567,6429280,0,241,50000000000
414515883737088,381530534903808,1002,2,264,120,Unendorsed,Unendorsed,19622097,57928737,1760000,0,241,25000000000
415615395364864,399122720948224,84579,83496,224,80,Unendorsed,Unendorsed,27940798,96296310,1616919,0,241,50000000000
414515883737088,415615395364864,89649,89582,229,189,Unendorsed,Unendorsed,21233249,64974052,102242,0,241,49997500000
415615395364864,414515883737088,6055,4045,220,80,Unendorsed,Unendorsed,27944607,89348629,2946660,0,241,49997500000
414515883737088,369435906998272,2073,1073,510,366,Unendorsed,Unendorsed,21232597,21131710,3400000,0,241,10000000000
414515883737088,400222232576000,3258,2254,442,220,Unendorsed,NoResources,21232573,2049141,2957784,0,0,0
369435906998272,399122720948224,67036,65971,224,80,Unendorsed,Unendorsed,5118004,96300484,1590045,0,241,50000000000
414515883737088,394724674437120,11363,10358,344,200,Unendorsed,Unendorsed,21234823,31942704,2304465,0,241,50000000000
351843720953856,399122720948224,11281462,11269205,224,80,Unendorsed,Unendorsed,1160860,96300815,18299701,0,241,50000000000
399122720948224,345246651187200,1940,940,224,80,Unendorsed,Unendorsed,12569214,3095807,1493000,0,241,750000000
415615395364864,381530534903808,1373,373,264,120,Unendorsed,Unendorsed,27943005,57928787,1760000,0,241,25000000000
415615395364864,369435906998272,1274,274,510,366,Unendorsed,Unendorsed,27942650,21132420,3400000,0,241,10000000000
369435906998272,415615395364864,325979,325735,229,189,Unendorsed,Unendorsed,5118335,64973044,372344,0,241,49997500000
414515883737088,415615395364864,2149126510,2147515874,264,224,Unendorsed,Unendorsed,21233078,64973035,2834719360,0,241,49997500000
394724674437120,381530534903808,302171,301021,264,120,Unendorsed,Unendorsed,5431424,57929270,2024000,0,241,25000000000
394724674437120,414515883737088,2133,133,220,80,Unendorsed,Unendorsed,5432374,89348586,2932000,0,241,49997500000
415615395364864,414515883737088,4157,2152,220,80,Unendorsed,Unendorsed,29548611,89349792,2939330,0,241,49997500000
381530534903808,415615395364864,1051,1051,229,189,Unendorsed,Unendorsed,10077291,66582698,0,0,241,49997500000
