incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
389227116298240,387028093042688,11285492,11283477,344,264,Unendorsed,Unendorsed,368160,296048,4620395,0,241,1000000000
378232000020480,388127604670464,3105,2105,504,424,Unendorsed,Unendorsed,1947997,14800188,3360000,0,241,1000000000
388127604670464,378232000020480,45767,44723,412,332,Unendorsed,Unendorsed,2223370,12791034,2866824,0,241,1000000000
387028093042688,385928581414912,10369,9369,368,328,Endorsed,Endorsed,563287,3858408,2453000,0,0,0
383729558159360,378232000020480,11620814,11608206,280,200,Unendorsed,Unendorsed,366458,12792014,23526528,0,241,1000000000
378232000020480,388127604670464,3498,2498,504,424,Unendorsed,Unendorsed,1960999,14800148,3360000,0,241,1000000000
387028093042688,378232000020480,10938,9929,197,117,Unendorsed,Unendorsed,563891,12803878,1324817,0,241,1000000000
383729558159360,378232000020480,3600,2598,412,332,Unendorsed,Unendorsed,378776,12804813,2751492,0,241,1000000000
385928581414912,388127604670464,3223,2223,504,424,Endorsed,Endorsed,1176820,14800723,3360000,0,241,1000000000
334251534909440,388127604670464,3176,2176,504,424,Unendorsed,Unendorsed,159879,14801253,3360000,0,241,1000000000
385928581414912,388127604670464,3312,2312,504,424,Endorsed,Endorsed,1177193,14802066,3360000,0,241,1000000000
388127604670464,382630046531584,36411,36311,160,120,Unendorsed,Unendorsed,2223341,172910,106600,0,241,1000000000
380431023276032,378232000020480,8790,7783,412,332,Unendorsed,Unendorsed,205922,12803579,2765222,0,241,1000000000
378232000020480,388127604670464,3626,2626,504,424,Unendorsed,Unendorsed,1959902,14800933,3360000,0,241,1000000000
379331511648256,388127604670464,461426,460426,300,220,Unendorsed,Unendorsed,246914,14801752,2000000,0,241,1000000000
378232000020480,388127604670464,125218,124218,300,220,Unendorsed,Unendorsed,1960522,14802693,2000000,0,241,1000000000
387028093042688,388127604670464,21572,20572,504,424,Unendorsed,Unendorsed,563359,14803562,3360000,0,241,1000000000
378232000020480,388127604670464,3696,2696,300,220,Unendorsed,Unendorsed,1960880,14804289,2000000,0,241,1000000000
388127604670464,383729558159360,12460,11460,120,40,Unendorsed,Unendorsed,2225211,1366041,800000,0,241,1000000000
388127604670464,385928581414912,3341,2341,260,220,Unendorsed,NoResources,2225800,3858165,1733000,0,0,0
388127604670464,410117837225984,245531,244542,566,366,Unendorsed,Unendorsed,2225572,460372,3731497,0,241,1500000000
387028093042688,385928581414912,13348,12348,368,328,Endorsed,Endorsed,563961,3858077,2453000,0,0,0
379331511648256,378232000020480,58214,57157,280,200,Unendorsed,Unendorsed,247621,12802885,1972362,0,241,1000000000
378232000020480,388127604670464,3163,2163,504,424,Unendorsed,Unendorsed,1961274,14804243,3360000,0,241,1000000000
388127604670464,385928581414912,2001,1001,368,328,Unendorsed,NoResources,2225861,3858887,2453000,0,0,0
385928581414912,389227116298240,149593,148592,80,40,Endorsed,NoReputation,1174818,1630171,533533,0,241,1000000000
378232000020480,388127604670464,3139,2139,300,220,Unendorsed,Unendorsed,1960641,14804216,2000000,0,241,1000000000
410117837225984,388127604670464,3964,2964,504,424,Unendorsed,Unendorsed,253576,14805067,3360000,0,241,1000000000
378232000020480,379331511648256,260958,260917,302,222,Unendorsed,Unendorsed,1961174,297007,82533,0,241,1000000000
383729558159360,388127604670464,3524,2524,300,220,Unendorsed,Unendorsed,378915,14805785,2000000,0,241,1000000000
378232000020480,388127604670464,3579,2579,504,424,Unendorsed,Unendorsed,1959169,14805634,3360000,0,241,1000000000
410117837225984,389227116298240,902068,901059,80,40,Unendorsed,Unendorsed,254251,1629952,537797,0,241,1000000000
382630046531584,385928581414912,11559,10559,448,408,Endorsed,Endorsed,202737,3858204,2986000,0,0,0
389227116298240,385928581414912,8072,7072,368,328,Endorsed,Endorsed,368436,3859126,2453000,0,0,0
378232000020480,389227116298240,3239,2239,80,40,Unendorsed,Unendorsed,1958798,1630882,533000,0,241,1000000000
378232000020480,388127604670464,5581,4581,300,220,Unendorsed,Unendorsed,1958985,14805259,2000000,0,241,1000000000
387028093042688,378232000020480,94094,93001,412,332,Unendorsed,Unendorsed,562927,12800436,3001378,0,241,1000000000
383729558159360,388127604670464,1614489,1613488,504,424,Unendorsed,Unendorsed,379095,14806116,3363360,0,241,1000000000
388127604670464,382630046531584,50071,49971,160,120,Unendorsed,Unendorsed,2224825,172929,106600,0,241,1000000000
387028093042688,388127604670464,32566,31566,652,572,Unendorsed,Unendorsed,563878,14806932,4346000,0,241,1000000000
388127604670464,380431023276032,409618,409414,80,40,Unendorsed,Unendorsed,2224321,408665,108732,0,241,1000000000
389227116298240,385928581414912,61895,60895,368,328,Endorsed,Endorsed,369838,3859605,2453000,0,0,0
388127604670464,378232000020480,50396,49347,412,332,Unendorsed,Unendorsed,2224284,12800489,2880554,0,241,1000000000
382630046531584,385928581414912,51818,50818,368,328,Endorsed,Endorsed,203400,3860515,2453000,0,0,0
380431023276032,385928581414912,561866,560861,368,328,Endorsed,Endorsed,205855,3861497,2465265,0,0,0
388127604670464,379331511648256,67022,67012,302,222,Unendorsed,Unendorsed,2223488,296950,20130,0,241,1000000000
387028093042688,385928581414912,5398,4398,368,328,Endorsed,Endorsed,563819,3862239,2453000,0,0,0
378232000020480,388127604670464,96812,95812,300,220,Unendorsed,Unendorsed,1955419,14804035,2000000,0,241,1000000000
382630046531584,385928581414912,19815,18815,368,328,Endorsed,Endorsed,203955,3862819,2453000,0,0,0
388127604670464,380431023276032,8465,8461,80,40,Unendorsed,Unendorsed,2220234,408771,2132,0,241,1000000000
378232000020480,379331511648256,474397,474322,302,222,Unendorsed,Unendorsed,1955401,296908,150975,0,241,1000000000
378232000020480,388127604670464,3118,2118,504,424,Unendorsed,Unendorsed,1955113,14804164,3360000,0,241,1000000000
410117837225984,378232000020480,5596,4592,280,200,Unendorsed,Unendorsed,253901,12797962,1873464,0,241,1000000000
388127604670464,379331511648256,2104882,2104548,302,222,Unendorsed,Unendorsed,2218967,296962,672342,0,241,1000000000
387028093042688,385928581414912,40838,39838,368,328,Endorsed,Endorsed,563264,3863351,2453000,0,0,0
387028093042688,380431023276032,11221,11216,80,40,Unendorsed,Unendorsed,564169,408729,2665,0,241,1000000000
378232000020480,388127604670464,3102,2102,504,424,Unendorsed,Unendorsed,1955209,14803960,3360000,0,241,1000000000
387028093042688,378232000020480,15286,14272,412,332,Unendorsed,Unendorsed,563789,12797465,2784444,0,241,1000000000
410117837225984,388127604670464,3241,2241,504,424,Unendorsed,Unendorsed,254546,14804162,3360000,0,241,1000000000
380431023276032,388127604670464,5490,4490,260,180,Unendorsed,Unendorsed,205949,14804119,1733000,0,241,1000000000
378232000020480,383729558159360,2096164,2095162,360,280,Unendorsed,Unendorsed,1955547,1365900,2404800,0,241,1000000000
387028093042688,388127604670464,81886,80886,652,572,Unendorsed,Unendorsed,564500,14805505,4346000,0,241,1000000000
382630046531584,388127604670464,12111,11111,260,180,Unendorsed,Unendorsed,204332,14806252,1733000,0,241,1000000000
388127604670464,378232000020480,2038,1037,412,332,Unendorsed,Unendorsed,2219687,12797315,2748746,0,241,1000000000
387028093042688,388127604670464,13502,12502,260,180,Unendorsed,Unendorsed,565165,14806774,1733000,0,241,1000000000
378232000020480,389227116298240,240458,239456,80,40,Unendorsed,Unendorsed,1955110,1630846,534066,0,241,1000000000
378232000020480,382630046531584,1234536,1234424,160,120,Unendorsed,Unendorsed,1955560,172924,119392,0,241,1000000000
388127604670464,385928581414912,3944,2944,260,220,Unendorsed,NoResources,2219923,3863470,1733000,0,0,0
378232000020480,388127604670464,3134,2134,504,424,Unendorsed,Unendorsed,1954966,14806570,3360000,0,241,1000000000
378232000020480,379331511648256,38732,38726,290,210,Unendorsed,Unendorsed,1955803,297218,11598,0,241,1000000000
383729558159360,385928581414912,24896,23896,368,328,Endorsed,Endorsed,377947,3863213,2453000,0,0,0
388127604670464,334251534909440,342100,340760,344,200,Unendorsed,Unendorsed,2216500,1069653,3072620,0,241,5000000000
388127604670464,378232000020480,2754,1753,412,332,Unendorsed,Unendorsed,2217293,12795079,2748746,0,241,1000000000
362838837231616,388127604670464,82229,81229,652,572,Unendorsed,Unendorsed,105177,14804935,4346000,0,241,1000000000
388127604670464,378232000020480,10422,9413,412,332,Unendorsed,Unendorsed,2218845,12795864,2770714,0,241,1000000000
410117837225984,388127604670464,3140,2140,504,424,Unendorsed,Unendorsed,254429,14805756,3360000,0,241,1000000000
410117837225984,378232000020480,1785090,1782308,280,200,Unendorsed,Unendorsed,255393,12796664,5191212,0,241,1000000000
378232000020480,388127604670464,1397856,1396855,300,220,Unendorsed,Unendorsed,1955893,14806493,2002000,0,241,1000000000
388127604670464,379331511648256,6202,6202,250,170,Unendorsed,Unendorsed,2221106,297162,0,0,241,1000000000
380431023276032,385928581414912,901280,900271,368,328,Endorsed,Endorsed,205914,3863451,2475077,0,0,0
382630046531584,385928581414912,3266,2266,448,408,Endorsed,Endorsed,204551,3864445,2986000,0,0,0
378232000020480,382630046531584,89601,89501,160,120,Unendorsed,Unendorsed,1953514,172970,106600,0,241,1000000000
334251534909440,387028093042688,192953315,192934951,240,160,Unendorsed,Unendorsed,159254,297562,29382400,0,241,1000000000
388127604670464,385928581414912,2001,1001,368,328,Unendorsed,NoResources,2215945,3864835,2453000,0,0,0
387028093042688,378232000020480,679851,678173,240,160,Unendorsed,Unendorsed,581156,12796717,2684800,0,241,1000000000
388127604670464,378232000020480,13306,12294,412,332,Unendorsed,Unendorsed,2215539,12798297,2778952,0,241,1000000000
379331511648256,378232000020480,101601,100501,280,200,Unendorsed,Unendorsed,245129,12799240,2052600,0,241,1000000000
388127604670464,385928581414912,2044,1044,368,328,Unendorsed,NoResources,2215957,3864690,2453000,0,0,0
389227116298240,378232000020480,2098,1097,412,332,Unendorsed,Unendorsed,367235,12799834,2748746,0,241,1000000000
380431023276032,388127604670464,4870,3870,260,180,Unendorsed,Unendorsed,206344,14803475,1733000,0,241,1000000000
379331511648256,388127604670464,1733925,1732924,260,180,Unendorsed,Unendorsed,246077,14803470,1734733,0,241,1000000000
380431023276032,378232000020480,502773,501272,412,332,Unendorsed,Unendorsed,207158,12799726,4121746,0,241,1000000000
378232000020480,389227116298240,7747350,7746273,80,40,Unendorsed,Unendorsed,1954094,1630783,574041,0,241,1000000000
410117837225984,388127604670464,3567,2567,504,424,Unendorsed,Unendorsed,256876,14803363,3360000,0,241,1000000000
378232000020480,383729558159360,1166892,1165891,360,280,Unendorsed,Unendorsed,1954609,1365834,2402400,0,241,1000000000
382630046531584,334251534909440,186856,185671,424,280,Unendorsed,Unendorsed,204725,1070482,3348810,0,241,5000000000
410117837225984,378232000020480,351007,349658,280,200,Unendorsed,Unendorsed,257862,12800302,2517234,0,241,1000000000
378232000020480,382630046531584,41913,41813,160,120,Unendorsed,Unendorsed,1956030,173016,106600,0,241,1000000000
