incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
409018325598208,412316860481536,5757,5757,80,40,Unendorsed,Unendorsed,5887435138,0,0,0,241,50000000000
415615395364864,420013441875968,2148130340,301,292,220,Unendorsed,Unendorsed,25618433058,141406964690,4180261055894,0,241,8385000000
412316860481536,415615395364864,85663,84579,368,224,Unendorsed,Unendorsed,1242582254,101135195,2659052,0,241,49997500000
409018325598208,415615395364864,1051,51,328,184,Unendorsed,Unendorsed,5886276299,101135303,2186000,0,241,49997500000
415615395364864,412316860481536,5118,5118,80,40,Unendorsed,Unendorsed,27763117965,0,0,0,241,50000000000
412316860481536,411217348853760,13265,13259,300,220,Unendorsed,NoResources,1242300745,1466571,12000,0,0,0
415615395364864,421112953503744,2147515874,15,224,152,Unendorsed,Unendorsed,27759684480,48945801047,3206241177487,0,241,8385000000
409018325598208,415615395364864,1554,554,328,184,Unendorsed,Unendorsed,5884539700,101133815,2186000,0,241,49997500000
412316860481536,409018325598208,38485,37448,200,120,Unendorsed,Unendorsed,1242045846,11260987,1382321,0,241,12500000000
415615395364864,420013441875968,2148656719,546,292,220,Unendorsed,Unendorsed,29899606485,143549063673,4181284912658,0,241,8385000000
420013441875968,415615395364864,132749,131618,328,184,Unendorsed,Unendorsed,23472458427,101133867,2472366,0,241,49997500000
409018325598208,415615395364864,1021,21,328,184,Unendorsed,Unendorsed,5883478937,101134423,2186000,0,241,49997500000
421112953503744,415615395364864,1041,41,328,184,Unendorsed,Unendorsed,13529942451,101134856,2186000,0,241,49997500000
409018325598208,415615395364864,1004,4,328,184,Unendorsed,Unendorsed,5882885139,101135571,2186000,0,241,49997500000
412316860481536,415615395364864,1467,467,328,184,Unendorsed,Unendorsed,1241674089,101136234,2186000,0,241,49997500000
409018325598208,412316860481536,88361,88361,80,40,Unendorsed,Unendorsed,5882626456,0,0,0,241,50000000000
415615395364864,412316860481536,46695,46695,80,40,Unendorsed,Unendorsed,32040522316,0,0,0,241,50000000000
412316860481536,415615395364864,1719,719,328,184,Unendorsed,Unendorsed,1241598319,101136712,2186000,0,241,49997500000
412316860481536,415615395364864,102793,101692,408,264,Unendorsed,Unendorsed,1241386374,101136266,2994720,0,241,49997500000
415615395364864,412316860481536,16535,16535,80,40,Unendorsed,Unendorsed,32033224135,0,0,0,241,50000000000
421112953503744,415615395364864,60759,59700,448,304,Unendorsed,Unendorsed,13525406054,101136028,3162174,0,241,49997500000
415615395364864,412316860481536,37125,37125,80,40,Unendorsed,Unendorsed,32031083637,0,0,0,241,50000000000
420013441875968,415615395364864,1029,29,328,184,Unendorsed,Unendorsed,25607446133,101137658,2186000,0,241,49997500000
420013441875968,415615395364864,53835,52783,328,184,Unendorsed,Unendorsed,25604575093,101137713,2299672,0,241,49997500000
415615395364864,420013441875968,2147539507,26,292,220,Unendorsed,Unendorsed,32023030343,145688140133,4179111830026,0,241,8385000000
415615395364864,412316860481536,76050,76050,80,40,Unendorsed,Unendorsed,34164692804,0,0,0,241,50000000000
412316860481536,415615395364864,1014,14,328,184,Unendorsed,Unendorsed,1240752584,101136166,2186000,0,241,49997500000
412316860481536,421112953503744,2147494389,5,328,256,Unendorsed,Unendorsed,1240675695,51087819637,4694422723424,0,241,8385000000
409018325598208,415615395364864,1089,89,328,184,Unendorsed,Unendorsed,5877772660,101136453,2186000,0,241,49997500000
420013441875968,415615395364864,1595,595,328,184,Unendorsed,Unendorsed,27740346263,101137099,2186000,0,241,49997500000
415615395364864,412316860481536,1467,1467,80,40,Unendorsed,Unendorsed,34159510810,0,0,0,241,50000000000
412316860481536,415615395364864,2660,1659,328,184,Unendorsed,Unendorsed,3387815005,101137660,2188186,0,241,49997500000
421112953503744,411217348853760,4216,4214,806,726,Unendorsed,NoResources,15661742774,1466381,10746,0,0,0
415615395364864,412316860481536,904155,904155,80,40,Unendorsed,Unendorsed,34152802811,0,0,0,241,50000000000
409018325598208,412316860481536,1447759,1447759,80,40,Unendorsed,Unendorsed,5875036729,0,0,0,241,50000000000
412316860481536,420013441875968,2150274527,1299,292,220,Unendorsed,Unendorsed,3386113240,147825015417,4184431701688,0,241,8385000000
412316860481536,415615395364864,3164,2162,364,220,Unendorsed,Unendorsed,5536219164,101134116,2430852,0,241,49997500000
409018325598208,415615395364864,1097,97,328,184,Unendorsed,Unendorsed,5873689753,101134597,2186000,0,241,49997500000
420013441875968,415615395364864,89520,88432,328,184,Unendorsed,Unendorsed,29872151063,101134546,2378368,0,241,49997500000
420013441875968,415615395364864,1155,155,328,184,Unendorsed,Unendorsed,29871128991,101136345,2186000,0,241,49997500000
415615395364864,420013441875968,2147831701,162,292,220,Unendorsed,Unendorsed,34132613785,149972208495,4179680174894,0,241,8385000000
412316860481536,415615395364864,3615,2613,368,224,Unendorsed,Unendorsed,5535033049,101136398,2457906,0,241,49997500000
415615395364864,420013441875968,2148525661,485,292,220,Unendorsed,Unendorsed,36279416448,152119670550,4181029992496,0,241,8385000000
412316860481536,415615395364864,16531,15516,328,184,Unendorsed,Unendorsed,5534733945,101136943,2218790,0,241,49997500000
412316860481536,415615395364864,1196,196,328,184,Unendorsed,Unendorsed,5534450210,101137525,2186000,0,241,49997500000
412316860481536,415615395364864,66055,64991,328,184,Unendorsed,Unendorsed,5534261641,101138237,2325904,0,241,49997500000
409018325598208,415615395364864,1751,751,328,184,Unendorsed,Unendorsed,5871604125,101138772,2186000,0,241,49997500000
409018325598208,415615395364864,1029,29,328,184,Unendorsed,Unendorsed,5871390544,101139464,2186000,0,241,49997500000
412316860481536,411217348853760,4559,4557,806,726,Unendorsed,NoResources,5533153504,1466263,10746,0,0,0
415615395364864,420013441875968,2148338743,398,292,220,Unendorsed,Unendorsed,38413484449,154263346458,4180666419370,0,241,8385000000
412316860481536,415615395364864,1873,873,328,184,Unendorsed,Unendorsed,5532325038,101138349,2186000,0,241,49997500000
415615395364864,412316860481536,72909,72909,80,40,Unendorsed,Unendorsed,40557677902,0,0,0,241,50000000000
412316860481536,415615395364864,1153,153,328,184,Unendorsed,Unendorsed,5531887913,101138681,2186000,0,241,49997500000
421112953503744,415615395364864,1042,42,328,184,Unendorsed,Unendorsed,15642181817,101139224,2186000,0,241,49997500000
415615395364864,412316860481536,1015,1015,80,40,Unendorsed,Unendorsed,40543967349,0,0,0,241,50000000000
