incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
345246651187200,363938348859392,1942614,1941613,120,80,Unendorsed,Unendorsed,145298,725111,800800,0,241,500000000
363938348859392,345246651187200,6610,5608,269,229,Unendorsed,Unendorsed,170325,914793,1796586,0,241,750000000
345246651187200,363938348859392,3974,2974,120,80,Unendorsed,Unendorsed,146129,725627,800000,0,241,500000000
345246651187200,363938348859392,85554,84554,120,80,Unendorsed,Unendorsed,145754,726059,800000,0,241,500000000
363938348859392,345246651187200,117813,116755,612,572,Unendorsed,Unendorsed,170029,914323,4316640,0,241,750000000
363938348859392,345246651187200,4443,3442,344,304,Unendorsed,Unendorsed,169278,914570,2295293,0,241,750000000
363938348859392,345246651187200,290180,289036,224,184,Unendorsed,Unendorsed,169696,915309,1707992,0,241,750000000
363938348859392,352943232581632,20550,19550,160,120,Unendorsed,NoResources,166262,42469,1066000,0,0,0
345246651187200,363938348859392,20859,19859,120,80,Unendorsed,Unendorsed,141919,723709,800000,0,241,500000000
345246651187200,363938348859392,8085902,8084894,120,80,Unendorsed,Unendorsed,142581,724566,806400,0,241,500000000
345246651187200,363938348859392,25697,24697,120,80,Unendorsed,Unendorsed,142601,725157,800000,0,241,500000000
363938348859392,345246651187200,1011339,1009836,224,184,Unendorsed,Unendorsed,163411,911686,2243979,0,241,750000000
345246651187200,363938348859392,15033,14033,120,80,Unendorsed,Unendorsed,142028,724850,800000,0,241,500000000
363938348859392,345246651187200,59095,58067,260,220,Unendorsed,Unendorsed,164825,912687,1781524,0,241,750000000
363938348859392,345246651187200,91800,90755,224,184,Unendorsed,Unendorsed,165343,913480,1560185,0,241,750000000
363938348859392,346346162814976,15135464,15133103,309,269,Unendorsed,Unendorsed,165640,32370,4863660,0,241,1000000000
345246651187200,363938348859392,743694,742694,120,80,Unendorsed,Unendorsed,143187,725042,800000,0,241,500000000
363938348859392,345246651187200,34615,33599,304,264,Unendorsed,Unendorsed,167655,913572,2058416,0,241,750000000
363938348859392,345246651187200,12255,11250,224,184,Unendorsed,Unendorsed,168375,914454,1500465,0,241,750000000
345246651187200,363938348859392,46267862,46266816,120,80,Unendorsed,Unendorsed,143899,725073,836800,0,241,500000000
363938348859392,345246651187200,748117,746745,304,264,Unendorsed,Unendorsed,168905,914771,2779672,0,241,750000000
345246651187200,363938348859392,4592,3592,120,80,Unendorsed,Unendorsed,145589,725817,800000,0,241,500000000
345246651187200,363938348859392,202799,201799,120,80,Unendorsed,Unendorsed,146518,726788,800000,0,241,500000000
345246651187200,363938348859392,2922,1922,120,80,Unendorsed,Unendorsed,146922,727543,800000,0,241,500000000
363938348859392,345246651187200,16184,15177,260,220,Unendorsed,Unendorsed,170436,914874,1745131,0,241,750000000
363938348859392,345246651187200,4381,3380,224,184,Unendorsed,Unendorsed,170977,915673,1494493,0,241,750000000
363938348859392,345246651187200,36077,35060,160,120,Unendorsed,Unendorsed,170640,916078,1084122,0,241,750000000
345246651187200,363938348859392,78333,77333,120,80,Unendorsed,Unendorsed,147385,727078,800000,0,241,500000000
345246651187200,363938348859392,174710,173710,120,80,Unendorsed,Unendorsed,147299,727633,800000,0,241,500000000
363938348859392,345246651187200,7937,6934,384,344,Unendorsed,Unendorsed,170874,915853,2567680,0,241,750000000
345246651187200,363938348859392,3547,2547,120,80,Unendorsed,Unendorsed,148358,728247,800000,0,241,500000000
